mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_act,param_batch_size,param_dr,param_epochs,param_lyr,param_opt,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
1.9398424625396729,0.029378175735473633,0.09354722499847412,0.005472779273986816,relu,32,0.0,50,[8],SGD,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [8], 'opt': 'SGD'}",0.7780268788337708,0.7595505714416504,0.7687990934359105,0.00923814787770919,515
1.6112576723098755,0.04893362522125244,0.09083437919616699,0.004757881164550781,relu,32,0.0,50,[8],RMSprop,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [8], 'opt': 'RMSprop'}",0.7959641218185425,0.8202247023582458,0.8080807978456671,0.012130282629982428,190
1.7662063837051392,0.08974564075469971,0.09174954891204834,0.0049315690994262695,relu,32,0.0,50,[8],Adam,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [8], 'opt': 'Adam'}",0.8071748614311218,0.8134831190109253,0.810325450233605,0.003154126803376182,151
1.4930461645126343,0.021534323692321777,0.09439444541931152,0.010600566864013672,relu,32,0.0,50,[16],SGD,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [16], 'opt': 'SGD'}",0.8004484176635742,0.802247166633606,0.801346782749617,0.0008993739185740673,337
1.6057573556900024,0.00843656063079834,0.09641313552856445,0.009032011032104492,relu,32,0.0,50,[16],RMSprop,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [16], 'opt': 'RMSprop'}",0.8116592168807983,0.8202247023582458,0.8159371529497816,0.004282740041377372,58
1.768315315246582,0.0416872501373291,0.09398961067199707,0.009447574615478516,relu,32,0.0,50,[16],Adam,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [16], 'opt': 'Adam'}",0.8116592168807983,0.8292135000228882,0.8204265075634358,0.008777136043047442,21
1.6205575466156006,0.026467084884643555,0.09854042530059814,0.0034047365188598633,relu,32,0.0,50,"[8, 4]",SGD,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [8, 4], 'opt': 'SGD'}",0.7040358781814575,0.7865168452262878,0.7452300760882471,0.041240457548436374,555
1.770202875137329,0.08196377754211426,0.11332237720489502,0.022292494773864746,relu,32,0.0,50,"[8, 4]",RMSprop,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [8, 4], 'opt': 'RMSprop'}",0.7780268788337708,0.8247190713882446,0.8013467729827504,0.02334608157345663,338
1.9869672060012817,0.07592880725860596,0.09723794460296631,0.010433793067932129,relu,32,0.0,50,"[8, 4]",Adam,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [8, 4], 'opt': 'Adam'}",0.7914798259735107,0.8247190713882446,0.808080795905673,0.016619612240037492,192
1.6394203901290894,0.0004121065139770508,0.09845077991485596,0.00291597843170166,relu,32,0.0,50,"[16, 8]",SGD,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [16, 8], 'opt': 'SGD'}",0.8026905655860901,0.8179775476455688,0.8103254780624852,0.0076434862157348646,139
1.8277138471603394,0.10270845890045166,0.09752380847930908,0.006473898887634277,relu,32,0.0,50,"[16, 8]",RMSprop,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [16, 8], 'opt': 'RMSprop'}",0.7847533822059631,0.8112359642982483,0.7979798120949271,0.013241282706545576,376
2.086882472038269,0.08898556232452393,0.09906458854675293,0.010325193405151367,relu,32,0.0,50,"[16, 8]",Adam,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [16, 8], 'opt': 'Adam'}",0.7802690863609314,0.833707869052887,0.8069584896133671,0.026719374517637163,203
1.97370445728302,0.06222879886627197,0.11278724670410156,0.0016274452209472656,relu,32,0.0,50,"[24, 16, 8]",SGD,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [24, 16, 8], 'opt': 'SGD'}",0.7713004350662231,0.7775281071662903,0.7744107763507685,0.0031138340888850905,508
2.0716089010238647,0.12630069255828857,0.10678398609161377,0.008521199226379395,relu,32,0.0,50,"[24, 16, 8]",RMSprop,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [24, 16, 8], 'opt': 'RMSprop'}",0.7802690863609314,0.8359550833702087,0.8080808357089992,0.027842980968630585,171
2.360279679298401,0.04686272144317627,0.11933839321136475,0.007509827613830566,relu,32,0.0,50,"[24, 16, 8]",Adam,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [24, 16, 8], 'opt': 'Adam'}",0.8071748614311218,0.8247190713882446,0.8159371211740171,0.008772099453736054,62
1.7150256633758545,0.06113481521606445,0.12157750129699707,0.015630006790161133,relu,32,0.0,50,"[24, 8]",SGD,"{'act': 'relu', 'batch_size': 32, 'dr': 0.0, 'epochs': 50, 'lyr': [24, 8], 'opt': 'SGD'}",0.7511211037635803,0.8044943809509277,0.7777777910232544,0.026686621785961342,500
